2026-07-19T13:39:48+00:00 START ham-random-perm_thr cpu=3 attempt=1
ham-rs perm_thr 43000/100000 best=0.566688s eval=21470 elapsed=936.2s
ham-rs perm_thr 43250/100000 best=0.566688s eval=21470 elapsed=941.8s
ham-rs perm_thr 43500/100000 best=0.566688s eval=21470 elapsed=947.5s
ham-rs perm_thr 43750/100000 best=0.566688s eval=21470 elapsed=952.8s
ham-rs perm_thr 44000/100000 best=0.566688s eval=21470 elapsed=958.4s
ham-rs perm_thr 44250/100000 best=0.566688s eval=21470 elapsed=963.9s
ham-rs perm_thr 44500/100000 best=0.566688s eval=21470 elapsed=969.4s
ham-rs perm_thr 44750/100000 best=0.566688s eval=21470 elapsed=974.9s
ham-rs perm_thr 45000/100000 best=0.566688s eval=21470 elapsed=980.7s
ham-rs perm_thr 45250/100000 best=0.566688s eval=21470 elapsed=986.3s
ham-rs perm_thr 45500/100000 best=0.566688s eval=21470 elapsed=992.0s
ham-rs perm_thr 45750/100000 best=0.566688s eval=21470 elapsed=997.4s
ham-rs perm_thr 46000/100000 best=0.566688s eval=21470 elapsed=1002.8s
ham-rs perm_thr 46250/100000 best=0.566688s eval=21470 elapsed=1008.6s
ham-rs perm_thr 46500/100000 best=0.566688s eval=21470 elapsed=1014.2s
ham-rs perm_thr 46750/100000 best=0.566688s eval=21470 elapsed=1019.6s
ham-rs perm_thr 47000/100000 best=0.566688s eval=21470 elapsed=1025.1s
ham-rs perm_thr 47250/100000 best=0.566688s eval=21470 elapsed=1030.4s
ham-rs perm_thr 47500/100000 best=0.566688s eval=21470 elapsed=1035.8s
ham-rs perm_thr 47750/100000 best=0.566688s eval=21470 elapsed=1041.3s
ham-rs perm_thr 48000/100000 best=0.566688s eval=21470 elapsed=1046.4s
ham-rs perm_thr 48250/100000 best=0.566688s eval=21470 elapsed=1052.0s
ham-rs perm_thr 48500/100000 best=0.566688s eval=21470 elapsed=1057.4s
ham-rs perm_thr 48750/100000 best=0.566688s eval=21470 elapsed=1063.2s
ham-rs perm_thr 49000/100000 best=0.566688s eval=21470 elapsed=1068.9s
ham-rs perm_thr 49250/100000 best=0.566688s eval=21470 elapsed=1074.1s
ham-rs perm_thr 49500/100000 best=0.566688s eval=21470 elapsed=1079.8s
ham-rs perm_thr 49750/100000 best=0.566688s eval=21470 elapsed=1085.3s
ham-rs perm_thr 50000/100000 best=0.566688s eval=21470 elapsed=1090.7s
ham-rs perm_thr 50250/100000 best=0.566688s eval=21470 elapsed=1096.2s
ham-rs perm_thr 50500/100000 best=0.566688s eval=21470 elapsed=1101.9s
ham-rs perm_thr 50750/100000 best=0.566688s eval=21470 elapsed=1107.4s
ham-rs perm_thr 51000/100000 best=0.566688s eval=21470 elapsed=1112.8s
ham-rs perm_thr 51250/100000 best=0.566688s eval=21470 elapsed=1118.1s
ham-rs perm_thr 51500/100000 best=0.566688s eval=21470 elapsed=1123.8s
ham-rs perm_thr 51750/100000 best=0.566688s eval=21470 elapsed=1129.2s
ham-rs perm_thr 52000/100000 best=0.566688s eval=21470 elapsed=1134.6s
ham-rs perm_thr 52250/100000 best=0.672386s eval=52211 elapsed=1140.9s
ham-rs perm_thr 52500/100000 best=0.672386s eval=52211 elapsed=1146.2s
ham-rs perm_thr 52750/100000 best=0.672386s eval=52211 elapsed=1151.7s
ham-rs perm_thr 53000/100000 best=0.672386s eval=52211 elapsed=1157.1s
ham-rs perm_thr 53250/100000 best=0.672386s eval=52211 elapsed=1162.8s
ham-rs perm_thr 53500/100000 best=0.672386s eval=52211 elapsed=1168.1s
ham-rs perm_thr 53750/100000 best=0.672386s eval=52211 elapsed=1173.4s
ham-rs perm_thr 54000/100000 best=0.672386s eval=52211 elapsed=1178.8s
ham-rs perm_thr 54250/100000 best=0.672386s eval=52211 elapsed=1184.4s
ham-rs perm_thr 54500/100000 best=0.672386s eval=52211 elapsed=1189.8s
ham-rs perm_thr 54750/100000 best=0.672386s eval=52211 elapsed=1195.3s
ham-rs perm_thr 55000/100000 best=0.672386s eval=52211 elapsed=1201.0s
ham-rs perm_thr 55250/100000 best=0.672386s eval=52211 elapsed=1208.9s
ham-rs perm_thr 55500/100000 best=0.672386s eval=52211 elapsed=1216.4s
ham-rs perm_thr 55750/100000 best=0.672386s eval=52211 elapsed=1224.3s
ham-rs perm_thr 56000/100000 best=0.672386s eval=52211 elapsed=1231.8s
ham-rs perm_thr 56250/100000 best=0.672386s eval=52211 elapsed=1239.3s
ham-rs perm_thr 56500/100000 best=0.672386s eval=52211 elapsed=1247.1s
