2026-07-19T10:28:51+00:00 START npfs8-control cpu=1 attempt=1
npfs8 32300/100000 best=0.573758s eval=24526 elapsed=1309.4s
npfs8 32400/100000 best=0.573758s eval=24526 elapsed=1313.5s
npfs8 32500/100000 best=0.573758s eval=24526 elapsed=1317.8s
npfs8 32600/100000 best=0.573758s eval=24526 elapsed=1321.9s
npfs8 32700/100000 best=0.573758s eval=24526 elapsed=1326.4s
npfs8 32800/100000 best=0.573758s eval=24526 elapsed=1331.4s
npfs8 32900/100000 best=0.573758s eval=24526 elapsed=1335.9s
npfs8 33000/100000 best=0.573758s eval=24526 elapsed=1340.3s
npfs8 33100/100000 best=0.573758s eval=24526 elapsed=1344.8s
npfs8 33200/100000 best=0.573758s eval=24526 elapsed=1348.6s
npfs8 33300/100000 best=0.573758s eval=24526 elapsed=1352.0s
npfs8 33400/100000 best=0.573758s eval=24526 elapsed=1355.8s
npfs8 33500/100000 best=0.573758s eval=24526 elapsed=1359.3s
npfs8 33600/100000 best=0.573758s eval=24526 elapsed=1363.1s
npfs8 33700/100000 best=0.573758s eval=24526 elapsed=1367.2s
npfs8 33800/100000 best=0.573758s eval=24526 elapsed=1371.6s
npfs8 33900/100000 best=0.573758s eval=24526 elapsed=1376.4s
npfs8 34000/100000 best=0.573758s eval=24526 elapsed=1380.8s
npfs8 34100/100000 best=0.573758s eval=24526 elapsed=1385.2s
npfs8 34200/100000 best=0.573758s eval=24526 elapsed=1389.4s
npfs8 34300/100000 best=0.573758s eval=24526 elapsed=1393.4s
npfs8 34400/100000 best=0.573758s eval=24526 elapsed=1397.5s
npfs8 34500/100000 best=0.573758s eval=24526 elapsed=1401.5s
npfs8 34600/100000 best=0.573758s eval=24526 elapsed=1405.1s
npfs8 34700/100000 best=0.573758s eval=24526 elapsed=1409.5s
npfs8 34800/100000 best=0.573758s eval=24526 elapsed=1413.8s
npfs8 34900/100000 best=0.573758s eval=24526 elapsed=1418.2s
npfs8 35000/100000 best=0.573758s eval=24526 elapsed=1422.4s
npfs8 35100/100000 best=0.573758s eval=24526 elapsed=1426.4s
npfs8 35200/100000 best=0.573758s eval=24526 elapsed=1431.1s
npfs8 35300/100000 best=0.573758s eval=24526 elapsed=1435.0s
npfs8 35400/100000 best=0.573758s eval=24526 elapsed=1438.8s
npfs8 35500/100000 best=0.573758s eval=24526 elapsed=1443.1s
npfs8 35600/100000 best=0.573758s eval=24526 elapsed=1447.3s
npfs8 35700/100000 best=0.573758s eval=24526 elapsed=1451.2s
npfs8 35800/100000 best=0.573758s eval=24526 elapsed=1454.9s
npfs8 35900/100000 best=0.573758s eval=24526 elapsed=1458.5s
npfs8 36000/100000 best=0.573758s eval=24526 elapsed=1463.1s
npfs8 36100/100000 best=0.573758s eval=24526 elapsed=1467.5s
npfs8 36200/100000 best=0.573758s eval=24526 elapsed=1471.8s
npfs8 36300/100000 best=0.573758s eval=24526 elapsed=1477.0s
npfs8 36400/100000 best=0.573758s eval=24526 elapsed=1480.9s
npfs8 36500/100000 best=0.573758s eval=24526 elapsed=1485.3s
npfs8 36600/100000 best=0.573758s eval=24526 elapsed=1489.6s
npfs8 36700/100000 best=0.573758s eval=24526 elapsed=1493.9s
npfs8 36800/100000 best=0.573758s eval=24526 elapsed=1497.7s
npfs8 36900/100000 best=0.573758s eval=24526 elapsed=1501.8s
npfs8 37000/100000 best=0.573758s eval=24526 elapsed=1506.6s
npfs8 37100/100000 best=0.573758s eval=24526 elapsed=1510.4s
npfs8 37200/100000 best=0.573758s eval=24526 elapsed=1514.4s
npfs8 37300/100000 best=0.573758s eval=24526 elapsed=1518.5s
npfs8 37400/100000 best=0.573758s eval=24526 elapsed=1522.1s
npfs8 37500/100000 best=0.573758s eval=24526 elapsed=1525.9s
npfs8 37600/100000 best=0.573758s eval=24526 elapsed=1529.2s
npfs8 37700/100000 best=0.573758s eval=24526 elapsed=1533.7s
npfs8 37800/100000 best=0.573758s eval=24526 elapsed=1536.9s
npfs8 37900/100000 best=0.573758s eval=24526 elapsed=1540.3s
npfs8 38000/100000 best=0.573758s eval=24526 elapsed=1544.7s
npfs8 38100/100000 best=0.573758s eval=24526 elapsed=1548.2s
npfs8 38200/100000 best=0.573758s eval=24526 elapsed=1552.9s
npfs8 38300/100000 best=0.573758s eval=24526 elapsed=1556.7s
npfs8 38400/100000 best=0.573758s eval=24526 elapsed=1562.1s
npfs8 38500/100000 best=0.573758s eval=24526 elapsed=1566.1s
npfs8 38600/100000 best=0.573758s eval=24526 elapsed=1570.3s
npfs8 38700/100000 best=0.573758s eval=24526 elapsed=1574.0s
npfs8 38800/100000 best=0.573758s eval=24526 elapsed=1577.6s
npfs8 38900/100000 best=0.573758s eval=24526 elapsed=1581.4s
npfs8 39000/100000 best=0.573758s eval=24526 elapsed=1586.2s
npfs8 39100/100000 best=0.573758s eval=24526 elapsed=1589.9s
npfs8 39200/100000 best=0.573758s eval=24526 elapsed=1594.2s
npfs8 39300/100000 best=0.573758s eval=24526 elapsed=1597.8s
npfs8 39400/100000 best=0.573758s eval=24526 elapsed=1601.8s
npfs8 39500/100000 best=0.573758s eval=24526 elapsed=1605.4s
npfs8 39600/100000 best=0.573758s eval=24526 elapsed=1609.2s
npfs8 39700/100000 best=0.573758s eval=24526 elapsed=1612.8s
npfs8 39800/100000 best=0.573758s eval=24526 elapsed=1616.9s
npfs8 39900/100000 best=0.573758s eval=24526 elapsed=1621.4s
npfs8 40000/100000 best=0.573758s eval=24526 elapsed=1625.5s
npfs8 40100/100000 best=0.573758s eval=24526 elapsed=1629.3s
npfs8 40200/100000 best=0.573758s eval=24526 elapsed=1633.6s
npfs8 40300/100000 best=0.573758s eval=24526 elapsed=1638.5s
