tsp-rs shard=7 evaluated=8750 next=70000/100000 best=0.465224s eval=52959 elapsed=1024.5s
tsp-rs shard=7 evaluated=8800 next=70400/100000 best=0.465224s eval=52959 elapsed=1028.2s
tsp-rs shard=7 evaluated=8850 next=70800/100000 best=0.465224s eval=52959 elapsed=1038.0s
tsp-rs shard=7 evaluated=8900 next=71200/100000 best=0.465224s eval=52959 elapsed=1044.0s
tsp-rs shard=7 evaluated=8950 next=71600/100000 best=0.845175s eval=71255 elapsed=1063.6s
tsp-rs shard=7 evaluated=9000 next=72000/100000 best=0.845175s eval=71255 elapsed=1070.5s
tsp-rs shard=7 evaluated=9050 next=72400/100000 best=0.845175s eval=71255 elapsed=1075.0s
tsp-rs shard=7 evaluated=9100 next=72800/100000 best=0.845175s eval=71255 elapsed=1078.3s
tsp-rs shard=7 evaluated=9150 next=73200/100000 best=0.845175s eval=71255 elapsed=1082.4s
tsp-rs shard=7 evaluated=9200 next=73600/100000 best=0.845175s eval=71255 elapsed=1093.9s
tsp-rs shard=7 evaluated=9250 next=74000/100000 best=0.845175s eval=71255 elapsed=1100.9s
tsp-rs shard=7 evaluated=9300 next=74400/100000 best=0.845175s eval=71255 elapsed=1109.2s
tsp-rs shard=7 evaluated=9350 next=74800/100000 best=0.845175s eval=71255 elapsed=1114.9s
tsp-rs shard=7 evaluated=9400 next=75200/100000 best=0.845175s eval=71255 elapsed=1119.4s
tsp-rs shard=7 evaluated=9450 next=75600/100000 best=0.845175s eval=71255 elapsed=1124.6s
tsp-rs shard=7 evaluated=9500 next=76000/100000 best=0.845175s eval=71255 elapsed=1128.2s
tsp-rs shard=7 evaluated=9550 next=76400/100000 best=0.845175s eval=71255 elapsed=1132.1s
tsp-rs shard=7 evaluated=9600 next=76800/100000 best=0.845175s eval=71255 elapsed=1136.3s
tsp-rs shard=7 evaluated=9650 next=77200/100000 best=0.845175s eval=71255 elapsed=1139.8s
tsp-rs shard=7 evaluated=9700 next=77600/100000 best=0.845175s eval=71255 elapsed=1144.4s
tsp-rs shard=7 evaluated=9750 next=78000/100000 best=0.845175s eval=71255 elapsed=1147.8s
tsp-rs shard=7 evaluated=9800 next=78400/100000 best=0.845175s eval=71255 elapsed=1151.4s
tsp-rs shard=7 evaluated=9850 next=78800/100000 best=0.845175s eval=71255 elapsed=1162.9s
tsp-rs shard=7 evaluated=9900 next=79200/100000 best=0.845175s eval=71255 elapsed=1166.3s
tsp-rs shard=7 evaluated=9950 next=79600/100000 best=0.845175s eval=71255 elapsed=1170.4s
tsp-rs shard=7 evaluated=10000 next=80000/100000 best=0.845175s eval=71255 elapsed=1176.3s
tsp-rs shard=7 evaluated=10050 next=80400/100000 best=0.845175s eval=71255 elapsed=1186.5s
tsp-rs shard=7 evaluated=10100 next=80800/100000 best=0.845175s eval=71255 elapsed=1189.9s
tsp-rs shard=7 evaluated=10150 next=81200/100000 best=0.845175s eval=71255 elapsed=1195.3s
tsp-rs shard=7 evaluated=10200 next=81600/100000 best=0.845175s eval=71255 elapsed=1199.6s
tsp-rs shard=7 evaluated=10250 next=82000/100000 best=0.845175s eval=71255 elapsed=1206.5s
tsp-rs shard=7 evaluated=10300 next=82400/100000 best=0.845175s eval=71255 elapsed=1212.6s
tsp-rs shard=7 evaluated=10350 next=82800/100000 best=0.845175s eval=71255 elapsed=1217.2s
tsp-rs shard=7 evaluated=10400 next=83200/100000 best=0.845175s eval=71255 elapsed=1226.7s
tsp-rs shard=7 evaluated=10450 next=83600/100000 best=0.845175s eval=71255 elapsed=1233.9s
tsp-rs shard=7 evaluated=10500 next=84000/100000 best=0.845175s eval=71255 elapsed=1238.0s
tsp-rs shard=7 evaluated=10550 next=84400/100000 best=0.845175s eval=71255 elapsed=1244.2s
tsp-rs shard=7 evaluated=10600 next=84800/100000 best=0.845175s eval=71255 elapsed=1249.1s
tsp-rs shard=7 evaluated=10650 next=85200/100000 best=0.845175s eval=71255 elapsed=1255.2s
tsp-rs shard=7 evaluated=10700 next=85600/100000 best=0.845175s eval=71255 elapsed=1259.8s
tsp-rs shard=7 evaluated=10750 next=86000/100000 best=0.845175s eval=71255 elapsed=1265.1s
tsp-rs shard=7 evaluated=10800 next=86400/100000 best=0.845175s eval=71255 elapsed=1273.3s
tsp-rs shard=7 evaluated=10850 next=86800/100000 best=0.845175s eval=71255 elapsed=1280.7s
tsp-rs shard=7 evaluated=10900 next=87200/100000 best=0.845175s eval=71255 elapsed=1286.0s
tsp-rs shard=7 evaluated=10950 next=87600/100000 best=0.845175s eval=71255 elapsed=1289.6s
tsp-rs shard=7 evaluated=11000 next=88000/100000 best=0.845175s eval=71255 elapsed=1295.0s
tsp-rs shard=7 evaluated=11050 next=88400/100000 best=0.845175s eval=71255 elapsed=1299.6s
tsp-rs shard=7 evaluated=11100 next=88800/100000 best=0.845175s eval=71255 elapsed=1308.6s
tsp-rs shard=7 evaluated=11150 next=89200/100000 best=0.845175s eval=71255 elapsed=1318.7s
tsp-rs shard=7 evaluated=11200 next=89600/100000 best=0.845175s eval=71255 elapsed=1326.8s
tsp-rs shard=7 evaluated=11250 next=90000/100000 best=0.845175s eval=71255 elapsed=1331.9s
tsp-rs shard=7 evaluated=11300 next=90400/100000 best=0.845175s eval=71255 elapsed=1339.5s
tsp-rs shard=7 evaluated=11350 next=90800/100000 best=0.845175s eval=71255 elapsed=1343.8s
tsp-rs shard=7 evaluated=11400 next=91200/100000 best=0.845175s eval=71255 elapsed=1347.2s
tsp-rs shard=7 evaluated=11450 next=91600/100000 best=0.845175s eval=71255 elapsed=1356.5s
tsp-rs shard=7 evaluated=11500 next=92000/100000 best=0.845175s eval=71255 elapsed=1363.5s
tsp-rs shard=7 evaluated=11550 next=92400/100000 best=0.845175s eval=71255 elapsed=1381.3s
tsp-rs shard=7 evaluated=11600 next=92800/100000 best=0.845175s eval=71255 elapsed=1386.1s
tsp-rs shard=7 evaluated=11650 next=93200/100000 best=0.845175s eval=71255 elapsed=1390.6s
tsp-rs shard=7 evaluated=11700 next=93600/100000 best=0.845175s eval=71255 elapsed=1393.9s
tsp-rs shard=7 evaluated=11750 next=94000/100000 best=0.845175s eval=71255 elapsed=1397.9s
tsp-rs shard=7 evaluated=11800 next=94400/100000 best=0.845175s eval=71255 elapsed=1403.5s
tsp-rs shard=7 evaluated=11850 next=94800/100000 best=0.845175s eval=71255 elapsed=1408.1s
tsp-rs shard=7 evaluated=11900 next=95200/100000 best=0.845175s eval=71255 elapsed=1415.3s
tsp-rs shard=7 evaluated=11950 next=95600/100000 best=0.845175s eval=71255 elapsed=1418.4s
tsp-rs shard=7 evaluated=12000 next=96000/100000 best=0.845175s eval=71255 elapsed=1425.2s
tsp-rs shard=7 evaluated=12050 next=96400/100000 best=0.845175s eval=71255 elapsed=1432.5s
tsp-rs shard=7 evaluated=12100 next=96800/100000 best=0.845175s eval=71255 elapsed=1437.4s
tsp-rs shard=7 evaluated=12150 next=97200/100000 best=0.845175s eval=71255 elapsed=1441.1s
tsp-rs shard=7 evaluated=12200 next=97600/100000 best=0.845175s eval=71255 elapsed=1458.0s
tsp-rs shard=7 evaluated=12250 next=98000/100000 best=0.845175s eval=71255 elapsed=1464.6s
tsp-rs shard=7 evaluated=12300 next=98400/100000 best=0.845175s eval=71255 elapsed=1468.2s
tsp-rs shard=7 evaluated=12350 next=98800/100000 best=0.845175s eval=71255 elapsed=1471.5s
tsp-rs shard=7 evaluated=12400 next=99200/100000 best=0.845175s eval=71255 elapsed=1475.4s
tsp-rs shard=7 evaluated=12450 next=99600/100000 best=0.845175s eval=71255 elapsed=1487.6s
tsp-rs shard=7 evaluated=12500 next=100000/100000 best=0.845175s eval=71255 elapsed=1492.6s
wrote current_machine_rebench/results/followup-four-core/tsp-random-screen-shard7.json
