2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp champion_shiwa train seed=6 rep=1: SOLVED 13.973487s
tsp champion_shiwa train seed=6 rep=2: SOLVED 14.047469s
tsp champion_shiwa train seed=7 rep=0: SOLVED 6.865684s
tsp champion_shiwa train seed=7 rep=1: SOLVED 6.833077s
tsp champion_shiwa train seed=7 rep=2: SOLVED 6.853691s
tsp champion_shiwa heldout seed=8 rep=0: SOLVED 9.532623s
tsp champion_shiwa heldout seed=9 rep=0: SOLVED 13.608948s
tsp champion_shiwa heldout seed=10 rep=0: SOLVED 7.705963s
tsp champion_shiwa heldout seed=11 rep=0: SOLVED 8.594324s
tsp champion_shiwa heldout seed=12 rep=0: SOLVED 8.345325s
tsp champion_shiwa heldout seed=13 rep=0: SOLVED 10.276017s
tsp champion_shiwa heldout seed=14 rep=0: SOLVED 6.887607s
tsp champion_shiwa heldout seed=15 rep=0: SOLVED 5.168323s
tsp champion_shiwa heldout seed=16 rep=0: SOLVED 8.541942s
tsp champion_shiwa heldout seed=17 rep=0: SOLVED 8.244646s
tsp champion_shiwa heldout seed=18 rep=0: SOLVED 4.206155s
tsp champion_shiwa heldout seed=19 rep=0: SOLVED 9.692273s
tsp champion_shiwa heldout seed=20 rep=0: SOLVED 8.027571s
tsp champion_shiwa heldout seed=21 rep=0: SOLVED 13.677573s
tsp champion_shiwa heldout seed=22 rep=0: SOLVED 8.000533s
tsp champion_shiwa heldout seed=23 rep=0: SOLVED 2.541152s
tsp champion_shiwa heldout seed=24 rep=0: SOLVED 8.435105s
tsp champion_shiwa heldout seed=25 rep=0: SOLVED 5.189302s
tsp champion_shiwa heldout seed=26 rep=0: SOLVED 6.931430s
tsp champion_shiwa heldout seed=27 rep=0: SOLVED 5.546878s
tsp champion_shiwa heldout seed=28 rep=0: SOLVED 6.792686s
tsp champion_shiwa heldout seed=29 rep=0: SOLVED 8.089851s
tsp champion_shiwa heldout seed=30 rep=0: SOLVED 13.707282s
tsp champion_diagonalcma_u10000 train seed=1 rep=0: SOLVED 16.296281s
tsp champion_diagonalcma_u10000 train seed=1 rep=1: SOLVED 16.483108s
tsp champion_diagonalcma_u10000 train seed=1 rep=2: SOLVED 16.498013s
tsp champion_diagonalcma_u10000 train seed=2 rep=0: SOLVED 21.120265s
tsp champion_diagonalcma_u10000 train seed=2 rep=1: SOLVED 20.885139s
tsp champion_diagonalcma_u10000 train seed=2 rep=2: SOLVED 20.718396s
tsp champion_diagonalcma_u10000 train seed=3 rep=0: SOLVED 17.399702s
tsp champion_diagonalcma_u10000 train seed=3 rep=1: SOLVED 17.354462s
tsp champion_diagonalcma_u10000 train seed=3 rep=2: SOLVED 17.368383s
tsp champion_diagonalcma_u10000 train seed=4 rep=0: SOLVED 4.795634s
tsp champion_diagonalcma_u10000 train seed=4 rep=1: SOLVED 4.733173s
tsp champion_diagonalcma_u10000 train seed=4 rep=2: SOLVED 4.698861s
tsp champion_diagonalcma_u10000 train seed=5 rep=0: SOLVED 6.612169s
tsp champion_diagonalcma_u10000 train seed=5 rep=1: SOLVED 6.609210s
tsp champion_diagonalcma_u10000 train seed=5 rep=2: SOLVED 6.610440s
tsp champion_diagonalcma_u10000 train seed=6 rep=0: SOLVED 20.669962s
tsp champion_diagonalcma_u10000 train seed=6 rep=1: SOLVED 20.566170s
tsp champion_diagonalcma_u10000 train seed=6 rep=2: SOLVED 20.585297s
tsp champion_diagonalcma_u10000 train seed=7 rep=0: SOLVED 22.419775s
tsp champion_diagonalcma_u10000 train seed=7 rep=1: SOLVED 22.358649s
tsp champion_diagonalcma_u10000 train seed=7 rep=2: SOLVED 22.446974s
tsp champion_diagonalcma_u10000 heldout seed=8 rep=0: SOLVED 13.587597s
tsp champion_diagonalcma_u10000 heldout seed=9 rep=0: SOLVED 7.378292s
tsp champion_diagonalcma_u10000 heldout seed=10 rep=0: SOLVED 20.614929s
tsp champion_diagonalcma_u10000 heldout seed=11 rep=0: SOLVED 6.656539s
tsp champion_diagonalcma_u10000 heldout seed=12 rep=0: SOLVED 12.978529s
tsp champion_diagonalcma_u10000 heldout seed=13 rep=0: SOLVED 11.369759s
tsp champion_diagonalcma_u10000 heldout seed=14 rep=0: SOLVED 1.379358s
tsp champion_diagonalcma_u10000 heldout seed=15 rep=0: SOLVED 14.246870s
